,AAA,BBB,CCC,DDD,EEE
160,8796.79,1203.67,5007.33,9990.63,12012.49
161,8795.34,1203.68,5006.55,9991.95,12013.16
162,8794.92,1203.74,5006.36,9991.59,12011.02
163,8795.27,1203.81,5006.37,9992.28,12009.21
164,8795.79,1203.84,5006.1,9993.36,12007.57
165,8795.04,1203.78,5006.68,9993.03,12008.63
166,8795.89,1203.76,5006.84,9992.81,12010.15
167,8794.58,1203.83,5005.99,9991.19,12010.32
168,8793.9,1204.01,5005.93,9990.94,12008.35
169,8791.45,1203.96,5005.86,9992.59,12007.9
170,8789.27,1204.1,5005.21,9992.06,12008.49
171,8789.08,1203.93,5005.19,9993.1,12005.91
172,8788.5,1203.89,5005.2,9992.53,12004.15
173,8789.04,1203.94,5004.92,9993.13,12002.66
174,8789.98,1203.75,5005.76,9991.63,12004.55
175,8789.3,1203.74,5005.96,9991.91,12004.28
176,8788.98,1203.65,5006.72,9991.97,12006.89
177,8788.21,1203.6,5006.55,9991.54,12005.43
178,8788.61,1203.61,5006.53,9991.79,12005.72
179,8790.21,1204.02,5005.83,9991.59,12003.91
180,8791.15,1204.13,5006.56,9992.8,12002.47
181,8788.85,1204.39,5005.61,9991.61,12003.35
182,8790.03,1204.3,5006.79,9991.19,12003.76
183,8789.33,1204.06,5006.82,9991.87,12005.12
184,8789.83,1203.78,5006.1,9991.0,12004.19
185,8790.63,1203.92,5005.57,9991.6,12006.19
186,8790.42,1203.92,5005.14,9990.72,12007.17
187,8790.84,1203.77,5006.08,9990.1,12008.51
188,8791.55,1203.82,5005.75,9991.97,12009.3
189,8791.03,1203.96,5006.04,9990.65,12008.78
190,8791.78,1203.98,5006.83,9989.24,12007.45
191,8792.95,1204.21,5006.5,9989.61,12008.17
192,8792.03,1204.12,5007.54,9988.73,12008.74
193,8792.01,1204.22,5007.16,9988.39,12007.01
194,8790.4,1204.05,5007.09,9990.97,12007.63
195,8791.81,1203.98,5006.86,9989.07,12006.59
196,8791.2,1203.97,5007.0,9990.16,12007.53
197,8793.08,1204.06,5007.51,9989.09,12007.61
198,8791.78,1204.2,5007.43,9989.66,12008.17
199,8791.87,1204.05,5007.07,9988.49,12005.32
200,8792.47,1204.2,5006.66,9987.56,12005.59
201,8792.23,1204.23,5006.11,9988.0,12005.06
202,8791.9,1204.34,5005.96,9988.36,12005.39
203,8791.92,1204.41,5006.72,9989.57,12006.26
204,8792.0,1204.19,5006.58,9990.48,12007.26
205,8792.73,1204.36,5006.44,9989.02,12007.9
206,8792.27,1204.43,5006.7,9985.93,12007.66
207,8793.04,1204.46,5006.23,9986.64,12009.0
208,8792.27,1204.54,5006.15,9985.33,12009.64
209,8792.14,1204.77,5007.26,9985.01,12010.14
210,8792.23,1204.77,5007.16,9984.62,12008.57
211,8792.7,1204.78,5007.0,9982.53,12007.2
212,8791.28,1204.7,5007.09,9983.5,12006.49
213,8791.28,1204.78,5007.36,9983.9,12004.44
214,8790.47,1204.88,5008.06,9983.27,12004.39
215,8790.37,1205.17,5007.74,9983.25,12003.37
216,8790.97,1205.13,5007.38,9982.67,12003.83
217,8790.66,1205.17,5007.49,9981.4,12003.26
218,8789.66,1205.05,5007.24,9980.58,12003.79
219,8790.4,1205.06,5006.07,9978.56,12001.47
220,8789.96,1205.2,5006.06,9980.1,12003.73
221,8789.45,1205.09,5007.44,9979.8,12002.67
222,8788.31,1204.82,5006.93,9980.94,12003.04
223,8788.33,1204.77,5006.88,9981.51,12003.31
224,8788.25,1204.91,5006.67,9982.19,12003.02
225,8788.17,1205.03,5007.05,9981.43,12002.05
226,8787.92,1204.91,5007.0,9981.31,12000.54
227,8788.36,1205.02,5007.79,9980.44,11999.7
228,8789.93,1204.93,5007.88,9979.13,11999.33
229,8789.62,1204.9,5007.29,9979.2,11998.83
230,8791.19,1204.98,5007.0,9978.9,11996.71
231,8792.21,1205.07,5006.81,9978.52,11996.4
232,8792.25,1205.19,5007.69,9977.69,11997.36
233,8794.85,1205.06,5007.71,9979.73,12000.06
234,8795.77,1205.17,5006.89,9981.77,12000.49
235,8796.71,1204.95,5007.36,9981.85,12001.0
236,8796.9,1205.16,5007.72,9983.79,12001.18
237,8796.31,1205.05,5007.44,9983.84,12000.96
238,8795.97,1204.94,5007.38,9982.95,12001.64
239,8796.45,1204.96,5007.7,9982.52,12001.33
240,8797.82,1204.58,5008.07,9983.99,11999.88
241,8798.15,1204.54,5008.48,9984.45,11998.22
242,8798.02,1204.76,5008.99,9983.06,11998.08
243,8799.66,1204.65,5009.12,9984.33,11997.91
244,8797.73,1204.64,5008.87,9985.71,11997.76
245,8796.21,1204.79,5009.5,9985.8,11999.44
246,8796.26,1204.85,5009.36,9984.02,11999.99
247,8794.39,1204.74,5009.69,9984.19,11999.52
248,8795.49,1204.85,5010.38,9983.37,12000.68
249,8795.51,1204.84,5010.23,9982.62,11998.5
250,8795.92,1205.01,5010.35,9980.72,11998.3
251,8797.25,1204.87,5010.08,9980.84,11997.41
252,8796.1,1205.07,5010.13,9980.15,11997.05
253,8795.82,1205.29,5010.32,9981.03,11995.13
254,8795.91,1205.21,5010.38,9982.34,11995.39
255,8795.44,1205.25,5009.85,9981.46,11993.45
256,8795.62,1205.01,5010.44,9981.02,11992.86
257,8795.76,1204.9,5010.03,9980.77,11992.15
258,8795.45,1204.97,5010.43,9982.39,11991.04
259,8793.85,1204.92,5010.28,9981.37,11992.62
260,8793.38,1204.98,5009.98,9981.72,11993.89
261,8792.14,1204.96,5010.66,9982.97,11995.58
262,8792.73,1205.15,5010.67,9982.45,11995.14
263,8791.24,1205.29,5010.49,9980.51,11994.26
264,8790.43,1205.38,5010.17,9979.55,11994.23
265,8790.54,1205.43,5010.2,9979.09,11994.49
266,8789.72,1205.52,5010.69,9978.41,11994.35
267,8789.8,1205.83,5010.81,9979.24,11993.02
268,8790.12,1206.0,5010.85,9980.03,11991.76
269,8790.57,1206.12,5010.82,9978.69,11991.12
270,8790.27,1206.1,5011.03,9979.88,11991.33
271,8790.56,1206.14,5011.84,9978.42,11993.08
272,8790.55,1206.17,5012.17,9978.98,11994.62
273,8790.89,1206.32,5011.94,9978.96,11995.89
274,8789.41,1206.33,5012.9,9979.58,11997.42
275,8790.27,1206.29,5011.7,9979.95,11996.47
276,8790.87,1206.29,5011.54,9979.08,11999.36
277,8789.98,1206.06,5011.53,9979.63,11999.56
278,8790.92,1205.99,5011.89,9980.14,11998.06
279,8791.79,1205.91,5012.52,9980.74,11997.57
280,8790.81,1205.85,5012.76,9980.45,11995.96
281,8790.87,1205.82,5013.6,9979.27,11996.63
282,8792.2,1205.71,5013.9,9979.35,11996.38
283,8791.14,1205.53,5014.46,9979.46,11995.87
284,8790.03,1205.61,5013.74,9979.74,11997.01
285,8790.47,1205.4,5013.5,9980.13,11998.37
286,8789.91,1205.55,5014.06,9980.95,11997.41
287,8791.71,1205.66,5013.09,9979.34,11997.66
288,8792.05,1205.71,5012.88,9980.45,11995.14
289,8792.16,1205.54,5012.51,9980.49,11994.69
290,8792.62,1205.32,5012.32,9979.45,11995.93
291,8791.88,1205.37,5012.16,9979.18,11996.15
292,8792.44,1205.43,5011.33,9977.51,11996.48
293,8792.0,1205.41,5011.08,9978.73,11995.69
294,8793.26,1205.34,5009.49,9980.43,11996.88
295,8793.22,1205.5,5008.72,9979.98,11996.12
296,8793.48,1205.59,5008.85,9980.18,11994.97
297,8792.67,1205.7,5008.38,9981.58,11994.79
298,8791.54,1205.89,5009.27,9979.85,11994.53
299,8791.88,1205.92,5009.34,9978.26,11994.2
300,8792.58,1206.01,5008.71,9976.64,11993.86
301,8793.28,1206.03,5009.52,9976.86,11995.5
302,8794.83,1205.98,5009.27,9976.87,11997.07
303,8794.1,1206.17,5008.99,9976.75,11996.38
304,8794.74,1206.39,5008.86,9976.28,11994.72
305,8793.34,1206.29,5009.26,9978.27,11997.36
306,8791.96,1206.36,5009.82,9977.38,11997.36
307,8792.34,1206.37,5010.24,9977.24,11996.21
308,8794.44,1206.45,5009.75,9976.56,11996.82
309,8795.25,1206.47,5010.03,9977.61,11993.32
310,8795.55,1206.45,5010.21,9978.53,11992.24
311,8794.44,1206.52,5011.18,9977.56,11991.16
312,8795.01,1206.45,5011.46,9978.02,11990.76
313,8797.91,1206.55,5011.34,9979.16,11991.13
314,8798.18,1206.63,5011.6,9978.05,11991.26
315,8798.01,1206.76,5011.85,9978.82,11989.95
316,8799.25,1206.7,5011.45,9978.33,11990.56
317,8799.82,1206.81,5012.0,9978.51,11990.49
318,8799.89,1206.82,5012.37,9979.13,11990.8
319,8800.7,1206.78,5012.98,9978.46,11991.47
320,8801.51,1206.58,5012.88,9979.69,11990.46
321,8800.38,1206.65,5012.27,9979.71,11991.11
322,8800.34,1206.89,5011.93,9978.45,11993.28
323,8800.41,1206.72,5011.82,9977.84,11994.22
324,8799.62,1206.79,5011.68,9976.93,11994.92
325,8798.94,1206.62,5011.92,9977.49,11994.77
326,8799.92,1206.71,5012.43,9976.31,11992.87
327,8799.48,1206.73,5012.5,9977.13,11993.56
328,8800.82,1206.47,5012.79,9977.98,11992.46
329,8801.59,1206.54,5012.87,9978.22,11989.73
330,8799.98,1206.36,5013.43,9977.35,11990.5
331,8801.1,1206.29,5013.55,9978.21,11990.64
332,8801.09,1206.19,5013.34,9979.45,11990.81
333,8801.01,1206.2,5012.5,9977.92,11992.6
334,8801.45,1206.16,5012.7,9977.39,11992.83
335,8802.59,1206.07,5012.19,9977.42,11992.6
336,8803.05,1206.24,5012.2,9977.85,11993.67
337,8802.23,1206.18,5012.14,9977.42,11992.02
338,8803.94,1206.17,5011.11,9978.51,11992.83
339,8803.57,1206.24,5011.0,9976.28,11992.85
340,8804.49,1206.27,5010.76,9976.0,11992.78
341,8803.34,1206.25,5010.57,9975.46,11992.23
342,8803.61,1206.09,5010.89,9976.96,11994.13
343,8804.53,1206.11,5010.22,9977.54,11994.84
344,8804.03,1206.02,5009.93,9975.62,11992.81
345,8803.45,1206.2,5010.4,9974.51,11992.67
346,8802.29,1206.2,5010.47,9973.2,11991.55
347,8802.65,1206.14,5010.6,9972.77,11990.47
348,8802.4,1206.13,5010.73,9972.51,11988.46
349,8802.98,1206.17,5010.15,9973.37,11989.62
350,8802.9,1205.99,5010.18,9973.86,11988.53
351,8803.37,1205.94,5010.52,9972.86,11989.61
352,8803.27,1205.83,5010.39,9971.76,11990.78
353,8804.53,1205.86,5010.28,9971.8,11990.04
354,8803.38,1205.68,5010.17,9970.94,11990.12
355,8804.04,1205.51,5009.94,9971.3,11990.78
356,8805.25,1205.48,5009.38,9973.39,11989.79
357,8806.15,1205.64,5010.7,9973.74,11989.79
358,8806.72,1205.76,5009.88,9975.45,11991.21
359,8805.16,1205.58,5010.73,9973.56,11992.2
360,8806.14,1205.44,5010.59,9973.24,11991.36
361,8806.38,1205.62,5009.61,9971.77,11990.34
362,8804.89,1205.44,5010.5,9972.38,11992.55
363,8804.75,1205.49,5010.13,9972.03,11990.45
364,8804.86,1205.58,5010.48,9971.54,11988.6
365,8804.45,1205.51,5010.53,9972.35,11989.97
366,8803.08,1205.33,5011.7,9970.87,11990.24
367,8801.75,1205.56,5011.1,9972.05,11990.65
368,8802.24,1205.46,5010.83,9972.7,11993.06
369,8801.21,1205.47,5011.0,9972.47,11992.88
370,8799.78,1205.3,5010.82,9971.67,11991.97
371,8800.11,1205.35,5010.39,9972.44,11990.47
372,8800.52,1205.23,5009.26,9971.59,11990.14
373,8799.78,1205.16,5009.27,9970.78,11989.45
374,8801.15,1205.12,5009.55,9969.15,11989.36
375,8801.11,1204.96,5009.01,9967.56,11990.04
376,8800.54,1205.05,5009.26,9967.5,11988.69
377,8799.46,1205.28,5009.27,9965.79,11987.88
378,8799.39,1205.39,5009.1,9967.83,11987.05
379,8799.06,1205.54,5008.95,9966.87,11988.02
380,8799.55,1205.45,5009.33,9968.39,11989.76
381,8797.93,1205.54,5009.06,9968.65,11988.9
382,8797.31,1205.65,5008.12,9969.46,11989.19
383,8797.06,1205.6,5007.94,9968.76,11985.98
384,8797.44,1205.64,5009.02,9968.16,11986.16
385,8798.64,1205.62,5009.72,9970.44,11986.2
386,8798.24,1205.48,5010.02,9970.52,11983.95
387,8798.54,1205.46,5010.69,9970.78,11982.16
388,8798.34,1205.48,5011.56,9971.09,11982.89
389,8796.74,1205.53,5011.69,9971.91,11983.11
390,8797.16,1205.37,5012.06,9970.44,11982.65
391,8796.72,1205.39,5011.91,9971.23,11982.5
392,8796.13,1205.47,5011.78,9971.45,11981.65
393,8798.02,1205.23,5012.19,9971.12,11984.06
394,8796.64,1205.3,5012.59,9972.55,11984.77
395,8795.0,1205.17,5013.27,9971.74,11984.36
396,8793.55,1204.9,5012.46,9971.26,11984.05
397,8792.72,1204.91,5012.89,9970.46,11981.99
398,8793.41,1204.8,5013.5,9969.58,11981.7
399,8793.37,1204.78,5013.48,9968.11,11980.35
400,8792.82,1204.79,5013.53,9966.5,11980.14
401,8792.25,1204.96,5013.72,9966.1,11979.79
402,8792.66,1204.87,5013.47,9967.26,11980.63
403,8793.98,1204.94,5012.96,9966.76,11978.84
404,8793.35,1204.94,5012.99,9966.34,11980.11
405,8793.51,1204.95,5012.72,9968.02,11978.22
406,8793.12,1205.1,5012.61,9968.27,11978.81
407,8794.24,1205.29,5013.1,9968.18,11978.15
408,8794.5,1205.4,5012.72,9967.45,11978.62
409,8795.34,1205.28,5013.02,9966.46,11978.96
410,8796.25,1205.35,5012.99,9966.18,11979.12
411,8794.94,1205.19,5012.6,9967.17,11978.39
412,8794.93,1205.34,5013.04,9967.4,11979.32
413,8796.13,1205.3,5012.42,9965.04,11977.79
414,8795.98,1205.16,5011.81,9967.33,11977.95
415,8794.06,1205.0,5012.29,9969.55,11977.49
416,8791.97,1204.96,5012.32,9970.51,11977.47
417,8792.71,1204.75,5012.77,9968.81,11976.95
418,8793.21,1204.86,5012.48,9968.7,11975.6
419,8793.46,1204.88,5013.06,9969.15,11974.79
420,8794.27,1204.81,5013.89,9970.91,11974.12
421,8795.59,1204.75,5013.45,9969.95,11973.78
422,8794.8,1204.66,5013.34,9968.89,11972.64
423,8793.06,1204.74,5013.0,9967.07,11972.37
424,8794.33,1204.71,5013.3,9966.26,11971.45
425,8794.58,1204.71,5013.39,9966.15,11970.22
426,8794.07,1204.81,5013.12,9966.83,11970.62
427,8793.77,1204.73,5013.03,9966.13,11972.19
428,8794.55,1204.58,5013.76,9963.81,11971.35
429,8796.85,1204.59,5013.61,9963.63,11972.69
430,8795.86,1204.65,5013.61,9965.22,11973.02
431,8796.82,1204.64,5012.93,9963.76,11974.96
432,8797.57,1204.65,5013.3,9963.07,11974.21
433,8798.55,1204.75,5012.8,9963.5,11977.11
434,8799.11,1204.73,5012.51,9963.92,11977.27
435,8797.71,1204.78,5011.71,9962.67,11976.85
436,8796.74,1204.83,5010.82,9962.71,11975.07
437,8796.33,1205.09,5009.94,9963.32,11974.59
438,8796.92,1204.92,5009.73,9963.02,11973.39
439,8797.09,1204.9,5009.0,9963.23,11973.63
440,8797.65,1204.7,5009.19,9962.33,11972.73
441,8797.17,1204.61,5009.13,9963.42,11971.27
442,8798.54,1204.66,5009.84,9961.8,11970.77
443,8799.3,1204.6,5009.55,9961.72,11971.15
444,8798.98,1204.8,5009.06,9961.79,11970.77
445,8799.04,1204.93,5009.29,9962.56,11971.36
446,8799.16,1204.87,5010.22,9959.58,11970.27
447,8800.21,1205.0,5010.2,9957.42,11969.61
448,8800.26,1204.98,5010.08,9957.29,11968.03
449,8801.25,1204.97,5009.52,9956.2,11967.83
450,8800.49,1205.08,5010.59,9956.04,11968.0
451,8797.82,1205.26,5010.01,9953.87,11968.27
452,8797.4,1205.26,5010.17,9952.78,11968.38
453,8797.08,1205.14,5009.35,9954.55,11970.28
454,8797.96,1204.84,5009.27,9954.72,11969.02
455,8798.27,1204.62,5009.52,9955.02,11968.64
456,8798.6,1204.66,5010.37,9955.41,11969.19
457,8799.27,1204.71,5010.64,9954.57,11969.39
458,8800.51,1204.63,5010.77,9954.49,11969.57
459,8800.96,1204.79,5011.2,9954.37,11967.9
460,8801.96,1204.81,5011.87,9953.04,11969.99
461,8803.88,1204.69,5012.44,9953.46,11969.05
462,8804.81,1204.68,5012.13,9955.64,11969.83
463,8805.55,1204.98,5011.98,9954.12,11971.17
464,8806.14,1204.94,5012.47,9955.48,11970.8
465,8808.03,1204.98,5012.88,9955.32,11972.73
466,8807.94,1204.99,5012.65,9954.25,11974.07
467,8808.17,1205.28,5013.04,9954.14,11975.3
468,8807.94,1205.28,5013.32,9954.95,11976.77
469,8805.97,1205.29,5013.41,9955.03,11977.18
470,8804.61,1205.19,5013.11,9953.66,11976.88
471,8803.4,1205.11,5013.32,9953.78,11976.88
472,8803.75,1205.15,5013.48,9953.85,11975.03
473,8803.95,1205.49,5013.65,9954.76,11973.56
474,8805.14,1205.51,5013.24,9952.41,11972.58
475,8805.7,1205.55,5013.44,9951.27,11971.21
476,8805.82,1205.58,5014.0,9951.11,11972.34
477,8805.18,1205.56,5013.6,9951.31,11971.44
478,8806.7,1205.6,5014.41,9951.15,11971.48
479,8806.53,1205.64,5013.93,9951.39,11971.04
480,8807.9,1205.84,5014.15,9951.27,11970.76
481,8805.6,1205.89,5014.15,9952.49,11971.72
482,8804.28,1206.04,5013.78,9951.02,11970.76
483,8803.56,1205.74,5013.28,9949.73,11973.42
484,8801.91,1205.73,5012.59,9949.79,11975.4
485,8802.62,1205.65,5012.54,9952.33,11974.94
486,8801.49,1205.78,5013.76,9952.06,11972.83
487,8802.11,1205.79,5013.46,9953.05,11973.03
488,8802.15,1205.68,5012.82,9951.87,11976.3
489,8803.82,1205.51,5012.51,9952.13,11975.58
490,8802.49,1205.65,5012.68,9952.21,11973.84
491,8802.82,1205.45,5012.27,9953.08,11975.32
492,8802.62,1205.3,5012.6,9953.31,11974.13
493,8804.94,1205.2,5012.98,9952.27,11973.67
494,8806.37,1205.28,5013.34,9951.47,11973.48
495,8807.7,1205.21,5013.58,9951.51,11974.8
496,8809.53,1205.12,5013.84,9952.06,11974.14
497,8809.91,1205.01,5014.32,9953.12,11974.74
498,8809.77,1205.04,5016.0,9952.63,11975.28
499,8808.98,1204.91,5016.51,9953.09,11975.12
500,8808.79,1204.85,5017.22,9951.52,11975.51
501,8808.78,1204.74,5017.69,9950.92,11976.34
502,8808.05,1204.64,5017.42,9951.71,11975.29
503,8808.85,1204.52,5019.05,9951.35,11978.22
504,8808.68,1204.4,5019.33,9951.87,11974.5
505,8808.92,1204.33,5019.27,9953.16,11974.86
506,8808.7,1204.44,5019.01,9951.99,11973.56
507,8808.08,1204.37,5018.94,9951.34,11973.72
508,8809.49,1204.29,5019.26,9952.54,11974.71
509,8808.1,1204.49,5019.14,9952.58,11974.46
510,8809.43,1204.54,5019.24,9951.77,11973.18
511,8809.54,1204.69,5019.37,9950.99,11971.47
512,8808.67,1204.67,5020.07,9950.96,11971.39
513,8806.21,1204.43,5020.92,9950.03,11971.07
514,8804.27,1204.43,5020.14,9949.89,11971.69
515,8803.82,1204.34,5020.53,9949.82,11972.71
